月,研究者名,分野,希望予算,希望職位,アクセス数,マッチング数
2000-05,研究者44,エネルギー,700,助教,491,9
2000-06,研究者39,AI,200,教授,311,6
2000-06,研究者14,エネルギー,500,准教授,85,4
2000-06,研究者94,エネルギー,700,講師,241,13
2000-06,研究者95,エネルギー,300,教授,301,18
2000-06,研究者15,エネルギー,500,特任研究員,15,1
2000-06,研究者82,ロボティクス,500,助教,133,18
2000-06,研究者78,AI,200,准教授,225,16
2000-06,研究者93,ロボティクス,200,特任研究員,258,11
2000-06,研究者3,バイオ,700,講師,168,1
2000-06,研究者78,エネルギー,300,助教,403,3
2000-06,研究者53,ロボティクス,100,教授,437,3
2000-06,研究者43,バイオ,700,准教授,84,18
2000-06,研究者94,材料工学,700,特任研究員,490,7
2000-06,研究者39,環境科学,500,教授,435,14
2000-06,研究者77,ロボティクス,100,教授,339,5
2000-06,研究者20,ロボティクス,100,准教授,34,19
2000-07,研究者44,材料工学,500,准教授,492,6
2000-07,研究者6,材料工学,700,准教授,469,19
2000-07,研究者59,ロボティクス,700,助教,358,15
2000-07,研究者68,バイオ,700,准教授,29,0
2000-07,研究者39,環境科学,700,教授,32,7
2000-07,研究者19,バイオ,500,准教授,42,17
2000-07,研究者25,エネルギー,100,教授,197,16
2000-07,研究者85,バイオ,300,講師,399,3
2000-07,研究者25,ロボティクス,100,助教,229,7
2000-07,研究者91,ロボティクス,500,特任研究員,363,15
2000-08,研究者24,エネルギー,500,講師,105,6
2000-08,研究者18,材料工学,500,准教授,22,6
2000-08,研究者64,ロボティクス,200,教授,265,8
2000-08,研究者65,バイオ,300,講師,407,15
2000-08,研究者86,ロボティクス,300,特任研究員,255,0
2000-08,研究者68,AI,100,助教,179,14
2000-08,研究者92,ロボティクス,1000,講師,341,15
2000-08,研究者59,ロボティクス,700,准教授,432,1
2000-08,研究者96,エネルギー,300,講師,42,17
2000-08,研究者97,環境科学,300,助教,173,17
2000-09,研究者12,ロボティクス,500,助教,153,1
2000-09,研究者68,バイオ,500,准教授,221,13
2000-09,研究者85,AI,1000,講師,103,11
2000-09,研究者39,バイオ,300,教授,294,8
2000-09,研究者84,材料工学,700,准教授,160,7
2000-09,研究者70,環境科学,100,教授,39,14
2000-09,研究者42,エネルギー,100,特任研究員,364,12
2000-09,研究者61,エネルギー,500,准教授,268,2
2000-09,研究者15,ロボティクス,1000,准教授,412,4
2000-09,研究者31,エネルギー,300,助教,410,5
2000-09,研究者61,エネルギー,700,教授,106,16
2000-09,研究者23,材料工学,1000,助教,95,6
2000-09,研究者30,ロボティクス,1000,助教,74,12
2000-09,研究者84,ロボティクス,700,講師,251,15
2000-09,研究者65,AI,100,教授,139,7
2000-09,研究者6,AI,200,教授,53,10
2000-09,研究者73,エネルギー,200,特任研究員,381,1
2000-09,研究者36,AI,700,特任研究員,425,0
2000-09,研究者97,バイオ,500,助教,479,13
2000-09,研究者91,環境科学,100,講師,472,14
2000-09,研究者41,エネルギー,200,教授,477,15
2000-09,研究者38,エネルギー,500,助教,403,4
2000-09,研究者94,AI,500,特任研究員,249,9
2000-10,研究者10,ロボティクス,200,助教,282,9
2000-10,研究者48,ロボティクス,500,准教授,380,7
2000-10,研究者10,材料工学,500,教授,355,12
2000-10,研究者14,材料工学,700,教授,283,3
2000-10,研究者64,材料工学,300,助教,201,2
2000-10,研究者24,エネルギー,700,教授,403,14
2000-10,研究者96,AI,300,講師,223,11
2000-10,研究者22,AI,100,助教,37,11
2000-10,研究者75,AI,700,准教授,162,20
2000-10,研究者60,バイオ,1000,教授,321,8
2000-11,研究者72,AI,200,講師,335,17
2000-11,研究者32,環境科学,500,教授,208,17
2000-11,研究者9,バイオ,100,准教授,242,18
2000-11,研究者33,材料工学,1000,教授,355,16
2000-11,研究者41,エネルギー,1000,准教授,412,14
2000-11,研究者43,環境科学,300,助教,170,12
2000-11,研究者2,AI,1000,助教,345,6
2000-11,研究者64,エネルギー,300,准教授,217,0
2000-11,研究者16,バイオ,100,准教授,358,2
2000-11,研究者54,バイオ,700,特任研究員,51,19
2000-12,研究者16,バイオ,300,助教,237,18
2000-12,研究者91,バイオ,1000,講師,249,14
2000-12,研究者45,AI,200,教授,343,3
2000-12,研究者33,ロボティクス,1000,特任研究員,150,11
2000-12,研究者67,AI,1000,特任研究員,133,3
2000-12,研究者10,エネルギー,500,准教授,422,19
2000-12,研究者36,バイオ,300,教授,439,8
2000-12,研究者95,バイオ,700,特任研究員,232,7
2000-12,研究者54,環境科学,100,教授,331,16
2000-12,研究者93,ロボティクス,300,教授,342,11
2001-01,研究者83,バイオ,500,講師,435,18
2001-01,研究者47,バイオ,300,教授,443,1
2001-01,研究者88,AI,700,教授,393,14
2001-01,研究者4,バイオ,1000,教授,453,9
2001-01,研究者87,エネルギー,700,助教,361,6
2001-01,研究者70,環境科学,500,講師,87,15
2001-01,研究者55,材料工学,700,講師,186,12
2001-01,研究者81,環境科学,300,准教授,55,2
2001-01,研究者47,材料工学,100,教授,311,0
2001-01,研究者57,ロボティクス,500,教授,283,13
2001-01,研究者8,ロボティクス,300,講師,95,12
2001-01,研究者11,材料工学,500,助教,353,3
2001-01,研究者92,バイオ,700,講師,159,10
2001-01,研究者17,ロボティクス,100,講師,373,3
2001-01,研究者19,エネルギー,200,助教,147,14
2001-01,研究者39,エネルギー,700,助教,12,8
2001-01,研究者53,材料工学,700,准教授,377,4
2001-01,研究者59,エネルギー,300,講師,65,7
2001-01,研究者88,AI,500,講師,118,3
2001-01,研究者46,材料工学,300,准教授,434,15
2001-01,研究者43,AI,200,講師,58,2
2001-01,研究者100,バイオ,500,特任研究員,162,8
2001-01,研究者31,環境科学,300,教授,185,17
2001-01,研究者25,エネルギー,100,助教,295,19
2001-01,研究者58,環境科学,300,講師,22,2
2001-01,研究者98,バイオ,1000,講師,479,15
2001-01,研究者73,バイオ,500,特任研究員,223,4
2001-01,研究者37,材料工学,700,講師,14,18
2001-01,研究者51,バイオ,500,助教,426,8
2001-02,研究者77,環境科学,1000,助教,290,16
2001-02,研究者45,材料工学,300,特任研究員,11,7
2001-02,研究者47,AI,1000,教授,283,4
2001-02,研究者16,ロボティクス,300,准教授,407,17
2001-02,研究者79,ロボティクス,200,講師,425,2
2001-02,研究者98,ロボティクス,300,助教,212,10
2001-02,研究者30,環境科学,700,教授,286,4
2001-02,研究者33,ロボティクス,300,特任研究員,299,2
2001-02,研究者27,材料工学,1000,講師,226,17
2001-02,研究者26,AI,700,講師,60,6
2001-02,研究者21,AI,100,准教授,336,17
2001-02,研究者38,エネルギー,300,特任研究員,213,4
2001-02,研究者11,材料工学,200,教授,192,15
2001-02,研究者68,環境科学,100,教授,369,13
2001-02,研究者78,ロボティクス,100,准教授,339,15
2001-02,研究者39,エネルギー,1000,教授,133,7
2001-03,研究者8,環境科学,100,特任研究員,353,14
2001-03,研究者63,ロボティクス,700,特任研究員,54,20
2001-03,研究者68,環境科学,500,助教,436,11
2001-03,研究者74,ロボティクス,700,講師,474,7
2001-03,研究者46,ロボティクス,700,教授,242,2
2001-03,研究者78,環境科学,500,教授,237,19
2001-03,研究者59,AI,1000,講師,496,1
2001-03,研究者4,環境科学,1000,講師,270,1
2001-03,研究者12,バイオ,300,准教授,256,14
2001-03,研究者91,エネルギー,200,助教,115,6
2001-03,研究者62,材料工学,500,准教授,304,2
2001-04,研究者21,環境科学,1000,助教,402,8
2001-04,研究者63,AI,300,教授,277,15
2001-04,研究者35,バイオ,300,特任研究員,10,6
2001-04,研究者79,バイオ,200,助教,108,10
2001-04,研究者69,AI,100,特任研究員,65,13
2001-04,研究者82,環境科学,500,准教授,310,14
2001-04,研究者25,エネルギー,500,特任研究員,172,20
2001-04,研究者66,AI,1000,特任研究員,334,13
2001-04,研究者58,エネルギー,500,助教,314,4
2001-04,研究者15,AI,700,教授,156,17
2001-04,研究者6,バイオ,500,教授,401,0
2001-04,研究者21,材料工学,1000,助教,391,13
2001-04,研究者19,バイオ,300,教授,234,1
2001-04,研究者44,バイオ,700,助教,128,19
2001-04,研究者57,環境科学,1000,助教,146,8
2001-05,研究者15,バイオ,1000,准教授,391,7
2001-05,研究者47,エネルギー,1000,准教授,401,5
2001-05,研究者28,AI,700,特任研究員,472,9
2001-05,研究者99,バイオ,1000,特任研究員,182,7
2001-05,研究者75,ロボティクス,700,助教,277,8
2001-05,研究者17,材料工学,500,特任研究員,382,4
2001-05,研究者19,バイオ,100,助教,263,7
2001-05,研究者79,材料工学,500,講師,390,20
2001-05,研究者60,環境科学,700,教授,323,10
2001-05,研究者86,エネルギー,100,特任研究員,366,9
2001-05,研究者44,AI,100,助教,280,9
2001-05,研究者16,バイオ,100,特任研究員,430,19
2001-05,研究者73,AI,300,特任研究員,346,1
2001-05,研究者36,材料工学,300,特任研究員,437,4
2001-05,研究者1,ロボティクス,100,講師,268,15
2001-05,研究者30,エネルギー,200,講師,486,11
2001-05,研究者69,ロボティクス,700,特任研究員,335,3
2001-05,研究者7,エネルギー,700,特任研究員,111,2
2001-05,研究者93,環境科学,1000,助教,430,0
2001-05,研究者83,エネルギー,1000,講師,294,0
2001-06,研究者64,ロボティクス,500,准教授,300,13
2001-06,研究者1,AI,500,教授,400,13
2001-06,研究者43,バイオ,1000,助教,231,2
2001-06,研究者54,AI,500,特任研究員,265,19
2001-06,研究者98,エネルギー,300,特任研究員,88,14
2001-06,研究者38,材料工学,100,特任研究員,179,20
2001-06,研究者38,エネルギー,300,准教授,95,9
2001-06,研究者2,材料工学,1000,講師,250,14
2001-06,研究者95,材料工学,500,助教,278,10
2001-06,研究者14,環境科学,100,講師,260,4
2001-06,研究者2,AI,1000,教授,292,4
2001-06,研究者82,エネルギー,500,准教授,432,11
2001-06,研究者97,材料工学,500,教授,121,14
2001-06,研究者29,ロボティクス,500,助教,149,1
2001-06,研究者99,環境科学,100,教授,478,8
2001-06,研究者71,ロボティクス,100,助教,142,3
2001-06,研究者58,エネルギー,200,助教,402,15
2001-06,研究者5,環境科学,500,教授,421,20
2001-07,研究者57,AI,100,准教授,27,5
2001-07,研究者95,エネルギー,100,准教授,476,6
2001-07,研究者44,ロボティクス,500,講師,419,2
2001-07,研究者56,エネルギー,1000,特任研究員,66,10
2001-07,研究者7,エネルギー,500,助教,349,14
2001-07,研究者43,バイオ,200,准教授,59,0
2001-07,研究者61,材料工学,1000,教授,396,15
2001-07,研究者93,エネルギー,300,助教,54,14
2001-07,研究者95,エネルギー,500,特任研究員,492,1
2001-07,研究者53,材料工学,200,特任研究員,320,5
2001-07,研究者77,ロボティクス,500,助教,110,6
2001-07,研究者38,材料工学,1000,教授,257,1
2001-07,研究者22,材料工学,200,教授,136,11
2001-07,研究者3,バイオ,300,准教授,383,7
2001-07,研究者71,環境科学,300,講師,285,1
2001-07,研究者76,バイオ,200,特任研究員,453,10
2001-07,研究者85,バイオ,300,講師,464,14
2001-07,研究者88,環境科学,100,特任研究員,256,20
2001-07,研究者47,ロボティクス,200,助教,105,11
2001-07,研究者28,エネルギー,200,准教授,264,19
2001-07,研究者71,ロボティクス,500,助教,226,10
2001-07,研究者12,材料工学,1000,助教,34,20
2001-08,研究者99,ロボティクス,300,准教授,181,6
2001-08,研究者90,材料工学,500,講師,223,2
2001-08,研究者78,バイオ,300,特任研究員,205,18
2001-08,研究者56,環境科学,500,特任研究員,338,6
2001-08,研究者28,バイオ,700,講師,298,6
2001-08,研究者75,エネルギー,200,准教授,456,7
2001-08,研究者57,材料工学,100,特任研究員,336,10
2001-08,研究者76,AI,100,准教授,332,3
2001-08,研究者22,ロボティクス,300,准教授,173,19
2001-08,研究者99,AI,200,講師,73,19
2001-08,研究者92,ロボティクス,500,助教,100,10
2001-08,研究者38,環境科学,700,講師,460,7
2001-08,研究者92,バイオ,1000,准教授,332,6
2001-09,研究者94,エネルギー,500,准教授,472,9
2001-09,研究者19,AI,500,教授,15,18
2001-09,研究者5,AI,700,助教,456,1
2001-09,研究者80,バイオ,1000,特任研究員,210,4
2001-09,研究者69,エネルギー,1000,特任研究員,272,7
2001-09,研究者49,ロボティクス,500,教授,408,8
2001-09,研究者35,材料工学,1000,教授,119,0
2001-09,研究者87,エネルギー,500,教授,457,15
2001-09,研究者7,エネルギー,100,准教授,214,0
2001-09,研究者73,ロボティクス,700,講師,379,5
2001-09,研究者59,ロボティクス,1000,教授,263,3
2001-09,研究者64,バイオ,200,教授,372,5
2001-09,研究者88,ロボティクス,100,講師,65,7
2001-10,研究者96,材料工学,100,教授,241,19
2001-10,研究者57,バイオ,500,講師,283,12
2001-10,研究者18,材料工学,200,講師,318,16
2001-10,研究者59,AI,1000,准教授,338,17
2001-10,研究者44,バイオ,1000,講師,357,5
2001-10,研究者77,ロボティクス,1000,助教,34,20
2001-10,研究者54,バイオ,200,教授,416,6
2001-10,研究者90,環境科学,1000,准教授,491,3
2001-10,研究者84,AI,500,准教授,254,12
2001-10,研究者5,材料工学,300,助教,28,11
2001-10,研究者85,AI,500,准教授,203,17
2001-10,研究者54,エネルギー,500,助教,81,3
2001-10,研究者100,ロボティクス,100,准教授,327,18
2001-10,研究者80,環境科学,700,講師,356,9
2001-10,研究者52,材料工学,500,講師,10,8
2001-10,研究者93,環境科学,200,助教,440,18
2001-10,研究者81,バイオ,200,講師,291,16
2001-10,研究者55,環境科学,500,助教,95,3
2001-10,研究者44,材料工学,500,特任研究員,281,11
2001-10,研究者68,エネルギー,200,助教,110,19
2001-10,研究者79,AI,500,教授,98,13
2001-10,研究者8,エネルギー,300,准教授,95,9
2001-10,研究者45,バイオ,300,助教,95,19
2001-10,研究者70,AI,1000,准教授,102,11
2001-10,研究者99,バイオ,500,講師,160,16
2001-10,研究者96,環境科学,300,教授,129,8
2001-10,研究者57,材料工学,100,教授,93,17
2001-10,研究者56,ロボティクス,300,准教授,354,20
2001-10,研究者20,AI,500,教授,445,12
2001-11,研究者34,バイオ,500,准教授,18,19
2001-11,研究者49,ロボティクス,300,教授,222,14
2001-11,研究者12,ロボティクス,100,特任研究員,481,18
2001-11,研究者15,AI,700,教授,324,19
2001-11,研究者40,ロボティクス,100,特任研究員,316,8
2001-11,研究者77,エネルギー,700,特任研究員,68,15
2001-11,研究者5,ロボティクス,1000,助教,331,11
2001-11,研究者96,エネルギー,500,助教,328,3
2001-11,研究者95,ロボティクス,100,特任研究員,204,8
2001-11,研究者29,AI,300,教授,486,8
2001-11,研究者71,ロボティクス,300,助教,286,14
2001-11,研究者47,AI,500,講師,19,10
2001-11,研究者70,ロボティクス,700,助教,232,12
2001-11,研究者98,ロボティクス,100,教授,107,16
2001-11,研究者74,AI,500,准教授,310,8
2001-11,研究者82,エネルギー,500,准教授,215,18
2001-11,研究者49,エネルギー,1000,特任研究員,388,4
2001-11,研究者84,バイオ,300,准教授,244,6
2001-11,研究者60,材料工学,100,准教授,124,5
2001-11,研究者80,材料工学,500,助教,479,15
2001-11,研究者70,ロボティクス,200,准教授,301,14
2001-11,研究者30,環境科学,300,教授,336,5
2001-11,研究者59,バイオ,500,准教授,466,5
2001-11,研究者15,環境科学,700,助教,280,3
2001-11,研究者48,環境科学,500,特任研究員,32,16
2001-11,研究者5,環境科学,1000,講師,79,0
2001-11,研究者54,エネルギー,200,講師,246,0
2001-11,研究者53,バイオ,100,教授,326,1
2001-11,研究者15,エネルギー,700,特任研究員,316,6
2001-11,研究者95,環境科学,1000,助教,49,10
2001-12,研究者70,バイオ,500,特任研究員,336,14
2001-12,研究者2,材料工学,500,教授,153,9
2001-12,研究者34,エネルギー,300,准教授,95,14
2001-12,研究者3,バイオ,300,教授,351,19
2001-12,研究者79,AI,1000,教授,312,2
2001-12,研究者99,バイオ,500,助教,427,14
2001-12,研究者9,ロボティクス,100,特任研究員,401,10
2001-12,研究者28,材料工学,200,特任研究員,101,11
2001-12,研究者51,環境科学,700,助教,305,18
2001-12,研究者99,バイオ,300,准教授,395,1
2001-12,研究者4,材料工学,300,特任研究員,389,6
2001-12,研究者42,バイオ,200,講師,142,1
2001-12,研究者99,材料工学,1000,教授,240,8
2001-12,研究者41,環境科学,200,准教授,180,11
2001-12,研究者36,ロボティクス,100,教授,42,12
2001-12,研究者15,エネルギー,500,准教授,199,9
2001-12,研究者26,エネルギー,500,教授,73,13
2001-12,研究者89,エネルギー,200,講師,307,0
2001-12,研究者69,エネルギー,700,特任研究員,214,5
2001-12,研究者98,バイオ,200,特任研究員,380,18
2001-12,研究者66,材料工学,200,助教,365,17
2001-12,研究者70,ロボティクス,500,講師,28,0
2001-12,研究者19,環境科学,700,講師,418,12
2001-12,研究者57,エネルギー,700,助教,121,10
2001-12,研究者39,ロボティクス,200,特任研究員,182,11
2001-12,研究者69,環境科学,1000,助教,112,12
2001-12,研究者36,材料工学,200,教授,12,4
2001-12,研究者52,材料工学,1000,教授,301,18
2002-01,研究者24,環境科学,700,教授,378,15
2002-01,研究者7,環境科学,1000,准教授,379,10
2002-01,研究者51,AI,700,助教,64,11
2002-01,研究者39,バイオ,700,講師,391,6
2002-01,研究者97,エネルギー,1000,講師,247,17
2002-01,研究者56,環境科学,700,助教,273,16
2002-01,研究者44,エネルギー,1000,教授,117,12
2002-01,研究者35,環境科学,700,講師,379,6
2002-01,研究者90,エネルギー,700,講師,31,6
2002-01,研究者54,環境科学,1000,教授,26,15
2002-01,研究者79,エネルギー,200,特任研究員,261,16
2002-01,研究者96,環境科学,700,助教,116,10
2002-01,研究者82,材料工学,100,特任研究員,107,9
2002-01,研究者21,エネルギー,1000,教授,320,8
2002-01,研究者67,AI,100,教授,485,13
2002-01,研究者30,バイオ,500,准教授,234,11
2002-01,研究者24,環境科学,700,教授,348,13
2002-01,研究者38,環境科学,300,特任研究員,73,7
2002-01,研究者54,材料工学,700,講師,414,1
2002-01,研究者34,AI,500,助教,380,5
2002-01,研究者38,エネルギー,200,准教授,115,16
2002-01,研究者36,材料工学,300,特任研究員,219,9
2002-01,研究者46,バイオ,100,助教,491,6
2002-01,研究者75,AI,1000,准教授,263,15
2002-01,研究者81,材料工学,700,講師,53,2
2002-01,研究者10,ロボティクス,300,教授,46,20
2002-02,研究者80,環境科学,1000,特任研究員,184,9
2002-02,研究者54,材料工学,100,准教授,365,15
2002-02,研究者65,環境科学,700,教授,410,12
2002-02,研究者47,AI,100,教授,54,3
2002-02,研究者44,AI,300,准教授,274,7
2002-02,研究者17,材料工学,100,教授,236,6
2002-02,研究者68,エネルギー,700,教授,262,0
2002-02,研究者88,バイオ,100,助教,176,19
2002-02,研究者43,エネルギー,100,准教授,456,11
2002-02,研究者53,エネルギー,200,助教,199,14
2002-02,研究者3,バイオ,200,准教授,134,11
2002-02,研究者55,環境科学,700,特任研究員,147,20
2002-02,研究者44,エネルギー,1000,教授,20,20
2002-02,研究者35,環境科学,500,講師,356,20
2002-02,研究者77,エネルギー,700,准教授,354,4
2002-02,研究者87,環境科学,300,准教授,239,20
2002-02,研究者40,環境科学,100,教授,341,0
2002-02,研究者42,エネルギー,300,特任研究員,481,4
2002-02,研究者9,材料工学,100,講師,420,0
2002-02,研究者83,AI,1000,助教,453,7
2002-02,研究者45,バイオ,100,准教授,210,10
2002-02,研究者56,バイオ,100,准教授,286,19
2002-02,研究者20,環境科学,500,助教,36,9
2002-02,研究者3,AI,100,助教,95,2
2002-02,研究者85,ロボティクス,100,准教授,51,12
2002-02,研究者20,ロボティクス,300,特任研究員,77,19
2002-02,研究者10,ロボティクス,700,特任研究員,478,12
2002-02,研究者94,材料工学,200,特任研究員,399,11
2002-03,研究者8,バイオ,500,教授,81,15
2002-03,研究者14,材料工学,500,准教授,316,16
2002-03,研究者56,AI,1000,准教授,301,4
2002-03,研究者66,バイオ,200,講師,256,15
2002-03,研究者25,材料工学,1000,助教,181,11
2002-03,研究者76,材料工学,300,助教,223,3
2002-03,研究者85,材料工学,500,特任研究員,306,0
2002-03,研究者45,ロボティクス,700,特任研究員,499,4
2002-03,研究者21,バイオ,500,准教授,89,19
2002-03,研究者67,材料工学,1000,講師,297,7
2002-03,研究者67,AI,100,助教,91,6
2002-03,研究者77,AI,1000,准教授,334,5
2002-03,研究者38,バイオ,1000,教授,352,4
2002-03,研究者64,AI,100,助教,436,1
2002-03,研究者48,材料工学,1000,助教,496,6
2002-03,研究者76,バイオ,300,特任研究員,350,1
2002-03,研究者48,材料工学,100,准教授,398,10
2002-03,研究者2,材料工学,300,講師,184,0
2002-03,研究者70,AI,700,教授,460,11
2002-03,研究者72,エネルギー,700,講師,101,11
2002-03,研究者57,材料工学,300,講師,494,11
2002-04,研究者31,環境科学,1000,教授,349,5
2002-04,研究者12,バイオ,1000,助教,332,14
2002-04,研究者61,エネルギー,300,教授,497,9
2002-04,研究者33,バイオ,200,講師,500,12
2002-04,研究者38,ロボティクス,700,講師,224,9
2002-04,研究者100,ロボティクス,300,助教,333,2
2002-04,研究者73,エネルギー,700,特任研究員,486,8
2002-04,研究者69,バイオ,700,教授,146,19
2002-04,研究者72,AI,200,教授,243,3
2002-04,研究者33,AI,100,講師,191,14
2002-04,研究者71,エネルギー,100,特任研究員,173,8
2002-04,研究者97,材料工学,700,教授,14,12
2002-04,研究者68,エネルギー,200,講師,445,20
2002-04,研究者18,ロボティクス,500,教授,440,17
2002-04,研究者99,環境科学,100,准教授,88,10
2002-04,研究者57,エネルギー,700,教授,417,5
2002-04,研究者73,環境科学,1000,特任研究員,104,19
2002-05,研究者87,ロボティクス,100,教授,304,20
2002-05,研究者26,環境科学,100,助教,349,20
2002-05,研究者11,ロボティクス,700,准教授,343,4
2002-05,研究者74,材料工学,300,特任研究員,27,7
2002-05,研究者100,環境科学,700,教授,204,12
2002-05,研究者41,エネルギー,100,教授,351,4
2002-05,研究者45,材料工学,300,特任研究員,119,13
2002-05,研究者7,材料工学,1000,講師,385,2
2002-05,研究者5,バイオ,500,特任研究員,296,5
2002-05,研究者19,バイオ,200,教授,454,12
2002-05,研究者2,ロボティクス,1000,助教,121,2
2002-05,研究者44,AI,1000,特任研究員,454,9
2002-06,研究者26,環境科学,300,准教授,447,0
2002-06,研究者43,ロボティクス,100,特任研究員,168,13
2002-06,研究者73,バイオ,100,特任研究員,291,12
2002-06,研究者58,材料工学,300,助教,142,12
2002-06,研究者43,エネルギー,500,助教,156,4
2002-06,研究者25,バイオ,100,准教授,62,17
2002-06,研究者92,バイオ,100,特任研究員,455,17
2002-06,研究者36,ロボティクス,200,助教,263,13
2002-06,研究者2,環境科学,500,准教授,181,9
2002-06,研究者25,材料工学,700,教授,337,7
2002-06,研究者23,AI,300,准教授,338,19
2002-06,研究者81,材料工学,1000,准教授,138,13
2002-06,研究者92,材料工学,500,助教,189,5
2002-07,研究者47,環境科学,100,助教,436,1
2002-07,研究者33,バイオ,500,講師,133,4
2002-07,研究者41,バイオ,200,特任研究員,188,1
2002-07,研究者53,バイオ,200,教授,326,2
2002-07,研究者44,材料工学,200,助教,25,18
2002-07,研究者1,環境科学,100,特任研究員,134,9
2002-07,研究者51,材料工学,500,講師,117,19
2002-07,研究者66,エネルギー,300,特任研究員,296,19
2002-07,研究者1,環境科学,1000,特任研究員,324,9
2002-07,研究者97,環境科学,200,講師,113,17
2002-07,研究者66,材料工学,100,特任研究員,331,0
2002-07,研究者71,材料工学,1000,特任研究員,31,0
2002-07,研究者36,ロボティクス,500,講師,306,19
2002-07,研究者6,環境科学,700,講師,39,14
2002-07,研究者6,AI,100,助教,34,11
2002-07,研究者54,AI,200,准教授,467,18
2002-07,研究者26,AI,500,助教,184,19
2002-07,研究者41,エネルギー,300,教授,210,12
2002-07,研究者47,エネルギー,200,助教,120,11
2002-07,研究者3,AI,700,教授,219,6
2002-07,研究者45,エネルギー,1000,助教,19,18
2002-07,研究者79,環境科学,1000,教授,92,4
