月,企業名,業種,案件数,依頼キーワード,エリア
2012-04,富士通,製造,3,バイオ,関東
2012-04,デンソー,製造,2,AI,四国
2012-05,三菱電機,製造,1,AI,九州
2012-05,日立製作所,IT,2,ロボット,北陸
2012-05,パナソニック,エレクトロニクス,2,AI,海外
2012-05,東京エレクトロン,自動車,5,AI,近畿
2012-05,富士通,IT,3,AI,四国
2012-06,富士通,製造,4,ロボット,近畿
2012-06,日立製作所,電機,3,半導体,海外
2012-06,キヤノン,自動車,5,環境,北陸
2012-06,東京エレクトロン,IT,1,AI,中国
2012-07,東京エレクトロン,エレクトロニクス,3,ロボット,四国
2012-07,デンソー,IT,5,AI,北海道
2012-08,デンソー,IT,3,AI,北関東
2012-08,キヤノン,自動車,3,バイオ,近畿
2012-08,日立製作所,自動車,2,環境,近畿
2012-08,パナソニック,製造,1,ロボット,北関東
2012-08,ソニー,電機,5,環境,東北
2012-08,キヤノン,製造,3,ロボット,東北
2012-09,ソニー,自動車,5,ロボット,北関東
2012-09,トヨタ自動車,製造,2,AI,東北
2012-09,三菱電機,自動車,1,AI,東北
2012-09,キヤノン,自動車,5,AI,中国
2012-10,東京エレクトロン,自動車,4,環境,東海
2012-10,デンソー,製造,4,ロボット,九州
2012-11,パナソニック,IT,4,AI,中国
2012-11,日立製作所,自動車,1,バイオ,海外
2012-11,ソニー,製造,4,AI,東北
2012-12,トヨタ自動車,自動車,5,バイオ,北関東
2012-12,富士通,製造,5,ロボット,四国
2013-01,富士通,電機,1,ロボット,北陸
2013-01,デンソー,自動車,3,AI,九州
2013-02,ソニー,自動車,1,AI,東海
2013-02,トヨタ自動車,エレクトロニクス,5,半導体,東北
2013-02,デンソー,IT,3,ロボット,北関東
2013-02,日立製作所,製造,5,AI,近畿
2013-02,日立製作所,IT,3,環境,東北
2013-02,ホンダ,IT,5,AI,東北
2013-03,富士通,IT,2,AI,中国
2013-03,デンソー,自動車,1,環境,九州
2013-03,三菱電機,IT,5,バイオ,中国
2013-04,日立製作所,製造,5,バイオ,東海
2013-04,富士通,エレクトロニクス,5,ロボット,北関東
2013-04,キヤノン,自動車,4,ロボット,近畿
2013-04,トヨタ自動車,自動車,4,AI,東北
2013-04,富士通,エレクトロニクス,2,半導体,北関東
2013-05,キヤノン,IT,2,半導体,北海道
2013-05,キヤノン,製造,5,ロボット,関東
2013-05,富士通,IT,2,環境,海外
2013-06,ホンダ,製造,1,ロボット,北海道
2013-06,ソニー,自動車,4,ロボット,近畿
2013-07,ソニー,エレクトロニクス,4,環境,近畿
2013-07,トヨタ自動車,IT,1,半導体,北関東
2013-07,ソニー,電機,5,環境,北関東
2013-08,ホンダ,自動車,2,半導体,関東
2013-08,トヨタ自動車,エレクトロニクス,2,環境,九州
2013-08,デンソー,IT,1,ロボット,海外
2013-08,ソニー,エレクトロニクス,3,ロボット,近畿
2013-08,日立製作所,製造,3,バイオ,北海道
2013-08,ホンダ,電機,3,半導体,中国
2013-09,富士通,自動車,1,半導体,近畿
2013-09,トヨタ自動車,自動車,3,バイオ,九州
2013-10,東京エレクトロン,自動車,1,半導体,近畿
2013-10,ソニー,電機,1,AI,東北
2013-11,三菱電機,製造,1,ロボット,中国
2013-11,富士通,製造,1,半導体,北海道
2013-11,ソニー,エレクトロニクス,2,環境,海外
2013-11,東京エレクトロン,エレクトロニクス,2,バイオ,北海道
2013-11,東京エレクトロン,自動車,5,環境,近畿
2013-11,富士通,IT,5,バイオ,北海道
2013-12,ホンダ,電機,1,半導体,関東
2013-12,富士通,製造,5,半導体,関東
2013-12,ソニー,自動車,3,環境,北陸
2013-12,トヨタ自動車,電機,4,環境,北関東
2013-12,東京エレクトロン,電機,4,ロボット,関東
2014-01,三菱電機,自動車,4,AI,四国
2014-01,トヨタ自動車,製造,1,AI,中国
2014-01,キヤノン,IT,3,AI,関東
2014-02,ソニー,IT,3,半導体,北海道
2014-02,富士通,自動車,3,環境,北海道
2014-02,パナソニック,製造,5,環境,東北
2014-02,トヨタ自動車,電機,2,AI,関東
2014-02,トヨタ自動車,電機,4,AI,海外
2014-03,ホンダ,IT,5,半導体,関東
2014-03,デンソー,IT,1,AI,関東
2014-03,富士通,製造,2,環境,北海道
2014-04,ソニー,エレクトロニクス,2,AI,九州
2014-04,トヨタ自動車,製造,4,AI,北関東
2014-05,トヨタ自動車,製造,2,ロボット,東北
2014-05,ソニー,製造,4,半導体,海外
2014-05,三菱電機,自動車,4,バイオ,四国
2014-05,トヨタ自動車,電機,1,AI,海外
2014-05,三菱電機,エレクトロニクス,2,AI,東海
2014-05,ホンダ,製造,2,環境,北陸
2014-06,デンソー,自動車,2,AI,北海道
2014-06,トヨタ自動車,電機,4,半導体,東北
2014-06,ソニー,電機,5,AI,海外
2014-06,ソニー,IT,1,半導体,東北
2014-06,パナソニック,製造,1,環境,関東
2014-06,日立製作所,IT,2,バイオ,九州
2014-07,東京エレクトロン,エレクトロニクス,3,バイオ,北海道
2014-07,デンソー,自動車,4,AI,北海道
2014-07,三菱電機,自動車,4,バイオ,九州
2014-08,デンソー,自動車,1,バイオ,東北
2014-08,東京エレクトロン,IT,5,ロボット,四国
2014-08,パナソニック,電機,2,ロボット,北関東
2014-08,キヤノン,製造,1,AI,九州
2014-08,デンソー,製造,4,ロボット,東海
2014-08,ホンダ,IT,5,AI,中国
2014-09,キヤノン,製造,3,バイオ,九州
2014-09,日立製作所,自動車,2,バイオ,北陸
2014-10,トヨタ自動車,エレクトロニクス,3,ロボット,九州
2014-10,富士通,IT,3,AI,海外
2014-10,パナソニック,自動車,1,ロボット,東北
2014-10,ソニー,自動車,1,バイオ,四国
2014-10,デンソー,電機,4,バイオ,北陸
2014-11,パナソニック,IT,1,バイオ,海外
2014-11,キヤノン,自動車,5,バイオ,海外
2014-11,日立製作所,自動車,5,ロボット,東海
2014-11,デンソー,自動車,5,環境,九州
2014-11,トヨタ自動車,電機,1,環境,東海
2014-11,日立製作所,エレクトロニクス,4,半導体,関東
2014-12,三菱電機,自動車,2,AI,北海道
2014-12,キヤノン,エレクトロニクス,1,バイオ,関東
2014-12,三菱電機,製造,3,バイオ,東北
2015-01,日立製作所,自動車,3,環境,北陸
2015-01,ソニー,自動車,3,バイオ,関東
2015-01,キヤノン,製造,1,AI,九州
2015-01,ホンダ,自動車,5,AI,関東
2015-02,パナソニック,自動車,3,AI,北陸
2015-02,ソニー,IT,1,AI,中国
2015-03,富士通,製造,3,AI,四国
2015-03,三菱電機,IT,2,バイオ,関東
2015-04,日立製作所,製造,1,環境,北陸
2015-04,ホンダ,電機,4,環境,北陸
2015-05,パナソニック,製造,2,ロボット,近畿
2015-05,日立製作所,電機,5,バイオ,北海道
2015-06,キヤノン,エレクトロニクス,3,ロボット,北海道
2015-06,トヨタ自動車,IT,2,バイオ,北関東
2015-07,日立製作所,電機,4,ロボット,九州
2015-07,富士通,エレクトロニクス,4,AI,近畿
2015-07,キヤノン,電機,1,半導体,近畿
2015-07,デンソー,IT,5,バイオ,関東
2015-07,キヤノン,電機,3,半導体,東海
2015-07,富士通,エレクトロニクス,2,AI,海外
2015-08,ソニー,エレクトロニクス,5,バイオ,中国
2015-08,パナソニック,電機,3,ロボット,東海
2015-08,富士通,電機,3,バイオ,近畿
2015-08,富士通,電機,5,AI,東北
2015-08,三菱電機,電機,4,バイオ,中国
2015-09,トヨタ自動車,IT,4,AI,東北
2015-09,トヨタ自動車,電機,1,ロボット,東北
2015-09,三菱電機,製造,1,半導体,東北
2015-09,三菱電機,IT,3,環境,四国
2015-10,デンソー,自動車,3,AI,北海道
2015-10,デンソー,IT,5,ロボット,北陸
2015-11,ソニー,IT,1,バイオ,九州
2015-11,三菱電機,IT,3,環境,北海道
2015-11,東京エレクトロン,電機,4,環境,東海
2015-11,パナソニック,電機,5,半導体,近畿
2015-11,東京エレクトロン,電機,4,半導体,北関東
2015-12,ソニー,製造,4,バイオ,四国
2015-12,東京エレクトロン,エレクトロニクス,2,環境,東海
2016-01,日立製作所,エレクトロニクス,3,AI,北関東
2016-01,デンソー,エレクトロニクス,1,AI,九州
2016-01,日立製作所,自動車,4,半導体,九州
2016-01,キヤノン,IT,3,ロボット,北陸
2016-01,ホンダ,電機,4,バイオ,東海
2016-02,キヤノン,IT,4,環境,海外
2016-02,トヨタ自動車,製造,3,半導体,東北
2016-02,ソニー,電機,2,バイオ,中国
2016-02,東京エレクトロン,エレクトロニクス,4,AI,中国
2016-03,トヨタ自動車,エレクトロニクス,1,バイオ,北海道
2016-03,パナソニック,エレクトロニクス,2,環境,北関東
2016-03,富士通,自動車,3,半導体,北陸
2016-03,キヤノン,電機,3,ロボット,海外
2016-04,キヤノン,IT,3,半導体,北海道
2016-04,富士通,IT,1,半導体,北関東
2016-04,富士通,製造,2,半導体,中国
2016-04,ソニー,電機,4,環境,四国
2016-05,ソニー,エレクトロニクス,4,バイオ,四国
2016-05,キヤノン,エレクトロニクス,2,バイオ,北陸
2016-05,トヨタ自動車,電機,2,バイオ,北海道
2016-06,パナソニック,自動車,1,環境,北海道
2016-06,東京エレクトロン,製造,2,ロボット,関東
2016-07,東京エレクトロン,電機,5,ロボット,北陸
2016-07,トヨタ自動車,エレクトロニクス,5,バイオ,近畿
2016-07,トヨタ自動車,IT,2,バイオ,九州
2016-07,東京エレクトロン,エレクトロニクス,5,AI,九州
2016-07,パナソニック,IT,2,半導体,関東
2016-08,日立製作所,IT,5,AI,北海道
2016-08,富士通,製造,2,半導体,東海
2016-08,デンソー,エレクトロニクス,4,ロボット,北陸
2016-08,三菱電機,電機,5,バイオ,北陸
2016-09,日立製作所,電機,1,環境,関東
2016-09,トヨタ自動車,電機,4,半導体,東海
2016-09,ソニー,自動車,2,ロボット,東北
2016-09,三菱電機,電機,2,ロボット,中国
2016-10,デンソー,製造,4,半導体,北関東
2016-10,ソニー,製造,4,ロボット,海外
2016-10,デンソー,製造,2,ロボット,関東
2016-11,パナソニック,自動車,1,半導体,中国
2016-11,ソニー,エレクトロニクス,3,バイオ,近畿
2016-11,三菱電機,自動車,4,ロボット,中国
2016-11,富士通,IT,3,半導体,北関東
2016-12,東京エレクトロン,電機,1,環境,関東
2016-12,デンソー,製造,3,半導体,東北
2016-12,ソニー,製造,3,ロボット,九州
2016-12,デンソー,IT,2,環境,東海
2016-12,三菱電機,製造,1,AI,関東
2017-01,日立製作所,製造,2,AI,関東
2017-01,キヤノン,電機,3,バイオ,東海
2017-01,キヤノン,自動車,1,半導体,九州
2017-01,三菱電機,エレクトロニクス,2,AI,東海
2017-02,ホンダ,自動車,4,バイオ,東海
2017-02,デンソー,製造,4,バイオ,近畿
2017-02,日立製作所,IT,3,バイオ,東海
2017-03,ホンダ,エレクトロニクス,4,環境,北関東
2017-03,東京エレクトロン,エレクトロニクス,4,AI,海外
2017-04,パナソニック,製造,1,環境,北陸
2017-04,富士通,IT,5,環境,海外
2017-05,デンソー,IT,4,バイオ,北関東
2017-05,ホンダ,IT,2,バイオ,北陸
2017-06,パナソニック,製造,1,半導体,関東
2017-06,東京エレクトロン,エレクトロニクス,4,半導体,近畿
2017-06,三菱電機,自動車,3,環境,四国
2017-06,デンソー,製造,3,半導体,北海道
2017-07,日立製作所,製造,1,ロボット,関東
2017-07,富士通,エレクトロニクス,5,AI,海外
2017-08,三菱電機,エレクトロニクス,2,バイオ,海外
2017-08,三菱電機,エレクトロニクス,1,環境,北関東
2017-08,キヤノン,電機,5,AI,北関東
2017-08,パナソニック,IT,5,半導体,東海
2017-08,キヤノン,IT,3,環境,東海
2017-09,日立製作所,電機,5,バイオ,関東
2017-09,デンソー,エレクトロニクス,2,ロボット,北関東
2017-09,パナソニック,自動車,1,バイオ,海外
